"Company Name","Advertising","Agency of Record","Audit","Business Intelligence/Big Data","Collaboration","CRM / Marketing Automation","Data Management","Data Storage","Databases","Ecommerce","Enterprise Applications","ERP","Finance","Hardware/OS/Systems Environment","HR","ITSM","Languages","Medical","Mobility","Networking","Programming Tools","Security","Servers","Service Providers","Telecommunications","Virtualization"
"360 Federal Credit Union",,,,,,,,,,,,,,,,,"HTML, Microsoft ASP.NET",,,,"Modernizr",,,,"Frontier Communications",
"A+ Federal Credit Union",,,,"Google Analytics",,,"Liquidware Labs Desktop Management Software, Microsoft Active Directory, Microsoft Windows Communication Foundation (WCF)",,"Microsoft SQL Server, Microsoft SQL Server 2008","Yoast","Adobe Fireworks, Adobe Photoshop, Symitar Data Processing","Q2ebanking",,"Apple iOS","Deltek Talent Management",,"CSS, HTML, jQuery, Microsoft ASP.NET, Microsoft Visual C#",,"Apple iPad, Apple iPhone",,"Adobe, Adobe Dreamweaver, JSON, Microsoft Silverlight, Modernizr","McAfee (formerly Intel Security), McAfee SaaS Email Protection (formerly MX Logic), McAfee VirusScan","Microsoft Windows Servers",,"AT&T, ShoreTel",
"Aberdeen Proving Ground Federal Credit Union","Google AdWords, Google DoubleClick products (AdMeld)",,,"Google Analytics",,,,,,,,,,,,,,,,,,,,,,
"ABN AMRO North America","Google AdSense",,,"Adobe SiteCatalyst (Omniture), JasperReports","Atlassian",,"IBM Integration Bus (formerly WebSphere Message Broker), IBM WebSphere Portal, Oracle, Teradata, Teradata Data Warehouse","Verizon DNS",,,,"Ariba, Ariba Sourcing, Ariba Supplier Management",,"IBM AIX",,"Atlassian JIRA, ServiceNow","AJAX, CSS3, HTML5, Java, Java Servlets, jQuery, Oracle PL/SQL, Perl, PHP, PHP (Applications)",,,,"Apache, Apache CXF, Apache Struts, Apache Subversion (SVN), Atlassian Crucible, BackboneJS, CodeIgniter, Enterprise JavaBean (EJB), Google API, Google Web Toolkit (GWT), Hibernate, Java Enterprise Edition (Java EE, J2EE), JavaServer Faces (JSF), JavaServer Pages (JSP), Jenkins, Oracle Forms, Oracle JDBC, Selenium, Sencha","Qualys (QualysGuard), Symantec, Symantec Cloud, Symantec MessageLabs","IBM HTTP Server, IBM WebSphere Application Server, Microsoft Windows Servers, Red Hat Enterprise Linux (RHEL)",,"HyperCube",
"Academic Federal Credit Union",,,,,,,,,,,,,,,,,"Microsoft ASP.NET",,,,,,,,,
"Access National Bank",,,,"Google Analytics",,,,,,"Drupal Commerce",,,,,,,"Microsoft ASP.NET",,,,"Jenkins, Selenium",,,,"Windstream Communications",
"Achieva Credit Union","Facebook Pixel",,,"Google Analytics","Microsoft Exchange",,"BMC, Microsoft Active Directory, NetApp OnCommand Management Software","Dell SAN, NetApp, NetApp Data ONTAP, NetApp FAS8000 Series, NetApp SnapMirror, NetApp SnapRestore, NetApp Snapshot","Microsoft SQL Server, Microsoft SQL Server 2012",,"Adobe Creative Suite, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Alkami ORB, QuarkXPress",,,"IBM AIX",,"BMC Track-It!, KACE Systems Management Appliance (SMA K1000)",,,,"Paessler PRTG Network Monitor","Adobe","Absolute Computrace","Dell PowerEdge Servers, Dell Servers, Microsoft Exchange Server 2010, Microsoft Windows Server 2008, Microsoft Windows Server 2012, Microsoft Windows Servers",,"Cisco Systems, Level 3 Communications","VMware, VMware vSphere"
"Achieve Financial Credit Union",,,,"Google Analytics","Microsoft Outlook",,,"MaxCDN",,,"Digital Insight, Fiserv",,,,,,"HTML",,,,,,,,,
"ACNB Bank",,,,"Google Analytics","Microsoft Exchange, Microsoft Outlook",,,"ExaGrid",,"Drupal Commerce","Point Enterprises StaffPro",,,,,,,,,,"Bootstrap","Cisco IronPort, Symantec Verisign SSL, Veritas Backup Exec","Microsoft Windows Servers","Microsoft Services","Cisco Systems",
"Advancial",,,,,"Cisco Unified MeetingPlace, Microsoft Exchange, Microsoft Outlook","LivePerson","DataWatch, Hyland OnBase ECM, Microsoft Active Directory, PowerOn","Brocade Switches, Dell Compellent, Dell SAN, EVault Backup, Seagate","Microsoft SQL Server",,"Kentico CMS, Symitar","Concur, Microsoft Dynamics GP",,"Microsoft Windows 7, Microsoft Windows Vista",,,"jQuery, jQuery UI, Microsoft ASP.NET, Microsoft Windows PowerShell, VBScript",,,"Brocade, Cisco Routers and Switches, F5 BIG-IP Local Traffic Manager (LTM), Silver Peak WAN Optimization","Modernizr, WinBatch","Cisco Adaptive Security Appliance (ASA), Cisco Firewalls, F5 Application Security Manager (ASM), Forcepoint (Websense), RSA, Symantec Verisign SSL, Symitar Episys","Apple Mac OS, Microsoft Exchange Server 2010, Microsoft Exchange Server 2013, Microsoft Internet Information Services (IIS), Microsoft Windows 8, Microsoft Windows Server 2008, Microsoft Windows Server 2012, Microsoft Windows Servers",,"Cisco IP Telephony (VoIP), Cisco Systems, Cisco Unified Communications, Cisco Unified Communications Manager (CUCM) (Formerly CallManager), Cisco Unified Contact Center Express (UCCX), Cisco Unity System, Level 3 Communications, tw telecom","Citrix, Citrix XenApp (formerly MetaFrame and Presentation Server), VMware"
"Advantage Federal Credit Union",,,,"Google Analytics",,,"Paragon Application Systems","WordPress",,"Yoast","Fiserv, Fiserv Payment Solutions (formerly CheckFree)",,,,,,"Microsoft ASP.NET",,,,"Adobe, Apache, Modernizr",,"Apache Servers",,,
"Adventure Credit Union","Google Tag Manager",,,,,,,,,,,,,,,"New Relic",,,,,,,"Microsoft Internet Information Services (IIS)",,,
"Affiliated Bank Fsb",,,,"Google Analytics",,,,"WordPress",,"Yoast",,,,,,,,,,,,,,,,
"Affinity Federal Credit Union",,,,"Google Analytics",,"Oracle Eloqua, StrikeSocial",,,,"Crazy Egg","Digital Insight","Epicor ERP and Retail Software","Visa DPS",,,,,,,,,,"Microsoft Internet Information Services (IIS)",,"Windstream Communications",
"Air Academy Federal Credit Union","Facebook Pixel",,,"Google Analytics","Microsoft Exchange, Microsoft Outlook, Microsoft SharePoint",,"Automic Automation (Appworx & UC4)",,"Microsoft SQL Server",,,"RedBeam",,,,,"JCL",,,,"Apache",,"Apache Servers","OneNeck","Cisco Systems, Comcast Business","Citrix, Citrix XenApp (formerly MetaFrame and Presentation Server), VMware"
"Alabama Credit Union",,,,"Google Analytics",,,,,,,,,,,,,"Microsoft ASP.NET",,,,,,,,"AT&T",
"Alaska USA Federal Credit Union",,,,,"Microsoft SharePoint","Microsoft Dynamics CRM","Automic Automation (Appworx & UC4), Microsoft Project","OpenText ApplicationXtender","Microsoft SQL Server",,"Fiserv, Fiserv Payment Solutions (formerly CheckFree)","IBM Maximo Asset Management","Sybase Financial Fusion Server",,"PDS Vista HRMS",,"ASP, Java, Microsoft ASP.NET, Microsoft Visual Basic (VB, includes 6), Microsoft Visual C#, SQL",,,,"Bugzilla, CVS (Concurrent Versions System), Microsoft .NET Framework, Selenium","Proofpoint, RSA, RSA FraudAction, Symantec Security Information Manager, Tricerion SMA","IBM WebSphere Application Server","DecisionOne","Cisco IP Telephony (VoIP), Cisco Systems, Cisco Telephony Hardware, Cisco Unity System","Citrix"
"Alerus Financial",,,,"Google Analytics","IBM Connections Chat and Meetings (formerly IBM Sametime & Lotus Sametime)","Marketo Lead Tracking (Munchkin)","Microsoft Active Directory, Oracle",,"MySQL",,,,,,"UltiPro",,"PHP",,"ClairMail Mobile Solutions",,,"Barracuda Email Security, IBM Security Trusteer","IBM AS/400",,"CenturyLink",
"Align Credit Union",,,,,"Microsoft Exchange, Microsoft Lync, Microsoft SharePoint, Microsoft SharePoint 2010, Microsoft SharePoint 2013","LivePerson","Microsoft Active Directory, Microsoft Windows Server Update Services (WSUS)","Nimble Storage","Microsoft SQL Server, Microsoft SQL Server 2008, Microsoft SQL Server 2012, Microsoft SQL Server 2014",,"Adobe Creative Suite, Doxim Client Onboarding",,,"Microsoft Windows 7",,,"Microsoft ASP.NET",,"AirWatch, Blackberry Enterprise Server (BES)",,"Apache","Cisco Adaptive Security Appliance (ASA)","Apache Servers, Microsoft Windows 8",,"Audix Voicemail, Avaya, Avaya Site Administration, Verizon Wireless",
"Allegiance Bank",,,,,,,,,,,,,,,,,,,,,,,,,"AT&T",
"Alliance Credit Union",,,,"Google Analytics","Microsoft Exchange, Microsoft Outlook",,"Microsoft Active Directory","MaxCDN",,,"Fiserv",,,"PROXY Pro Remote Desktop Software",,,,,,"Cisco Routers and Switches, GFI LANGuard, Paessler PRTG Network Monitor",,"Cisco Adaptive Security Appliance (ASA), Cisco Firewalls, Cisco PIX, Forcepoint (Websense), SonicWall, Sophos, Sophos Antivirus Anti-Spam, Symantec, Symantec Endpoint Protection, Veritas Backup Exec","Microsoft Exchange Server 2010",,"Cisco Systems, ShoreTel","VMware, VMware vSphere"
"Allied First Bank",,,,,,,,,,,,,,,,,,,,,,"McAfee VirusScan",,,"Level 3 Communications",
"AllSouth Federal Credit Union","Google Tag Manager",,,"Google Analytics",,"LivePerson",,,,,,,,,,,"CSS, jQuery, Microsoft ASP.NET, PHP",,,,"Apache","Forcepoint (Websense), Symantec Verisign SSL",,,"Level 3 Communications",
"Ally Financial Services","AppNexus",,,"Adobe Analytics, Adobe Marketing Cloud (Omniture), Adobe SiteCatalyst (Omniture), Apache Hadoop, Elastic Kibana, Google Analytics, IBM Cognos Business Intelligence, ID Analytics, Keynote, Oracle OBIEE, SAP BusinessObjects, SAP Crystal Reports, SAP Netweaver BI, SAS Enterprise Guide, SAS Social Media Analytics, Splunk, Tableau, Verint Systems","Atlassian, CA Clarity PPM, Cisco WebEx, Microsoft Exchange, Microsoft Lync, Microsoft Office Communications Server, Microsoft Outlook, Microsoft SharePoint, Oracle WebCenter","Bazaarvoice, ChannelNet Sitebuilder, Fieldglass Vendor Management System, Glint, LivePerson, Salesforce Marketing Cloud (Formerly ExactTarget), Salesforce Service Cloud, Salesforce.com CRM, Trumba Calendar & Event Software","Apache Hive, Apache MapReduce, BMC, BMC ADDM, BMC Atrium CMDB, CA ERwin Data Modeler, Dell EMC Unisphere, Elasticsearch, Ganglia, Hortonworks Data Platform, HP Application Performance Management (BAC) (formerly HP Business Availability Center), HP Autonomy, IBM FileNet, IBM InfoSphere Information Server, logstash, Microsoft Active Directory, Microsoft Project, Microsoft SQL Server Analysis Services (SSAS), Microsoft SQL Server Reporting Services (SSRS), Microsoft System Center Operations Manager (SCOM), NetIQ, Oracle, Oracle Essbase, Oracle Exadata, Oracle Real Application Clusters (RAC), Oracle Service Bus, PegaRULES Process Commander (PRPC), Pegasystems, SAP NetWeaver Business Warehouse (BW), Verint Impact 360","Dell EMC CLARiiON, Dell EMC Connectrix, Dell EMC ControlCenter, Dell EMC Navisphere, Dell EMC PowerPath, Dell EMC ProSphere, Dell EMC SAN, Dell EMC SnapView, Dell EMC Symmetrix (VMAX), Dell EMC TimeFinder, Dell EMC VNX Unified Storage, Dell NetVault LiteSpeed, EMC Celerra, EMC Centera, Hadoop Distributed File System (HDFS), Veritas NetBackup","Microsoft SQL Server, Microsoft SQL Server Integration Services (SSIS), MongoDB, MySQL, Oracle Database (RDBMS), Oracle Database 11g, Redis",,"Envestnet Yodlee, Fiserv, Fiserv Payment Solutions (formerly CheckFree), Microsoft System Center Configuration Manager (SCCM), Oracle Applications, Wallstreet Suite","Ariba, Ariba Supplier Management, Bottomline Technologies Software, Concur, Oracle Hyperion, SAP, SAP BusinessObjects GRC, SAP Enterprise Resource Planning (ERP), SAP ERP Central Component (ECC), SAP Finance and Control (FI/CO)","Wolters Kluwer CCH","Apple iOS, HP-UX, Linux, Microsoft Windows 7, Oracle Solaris (Formerly Sun Solaris), Sun Solaris Cluster","Verint Workforce Management","Atlassian JIRA, BMC Remedy IT Service Management Suite, HP Integrated Lights-Out (iLO), HP ServiceCenter, HP ServiceGuard, HP SiteScope, NETSCOUT nGenius, Puppet, ServiceNow, SolarWinds","AJAX, CSS, HTML5, jQuery, jQuery UI, Microsoft ASP.NET, Microsoft Visual Basic (VB, includes 6), Microsoft Visual C#, Objective-C, Oracle PL/SQL, PHP, Python, R, Ruby on Rails, Shell Script, SQL, VBScript",,"Apple iPad, Apple iPhone, BlackBerry, Blackberry Enterprise Server (BES), Citrix XenMobile (Zenprise), Good Mobile, Kony Mobile Application Platform","Avaya one-X, Cisco Nexus 2000 Series Fabric Extenders, Cisco Nexus 5000 Series Switches, Cisco Nexus 7000 Series Switches, Cisco SAN, Cisco Unified Computing System (UCS), CiscoWorks, Citrix Receiver, F5 BIG-IP Global Traffic Manager (GTM), F5 BIG-IP Local Traffic Manager (LTM), F5 BIG-IP Network Hardware, F5 Load Balancer, Imperva, Infoblox DHCP/DNS, Juniper Networks, Novell","Adobe, Adobe ColdFusion, Agile, AngularJS, Apache, Apache Maven, Apache Pig, Bootstrap, Docker, GitHub, HP Application Lifecycle Management (ALM), HP Quality Center Software, HP QuickTest Pro (Mercury), HP Test Director, Java Enterprise Edition (Java EE, J2EE), JBoss, Jenkins, Micro Focus Caliber (formerly Borland CaliberRM), Microsoft .NET Framework, Microsoft Visio, MomentJS, MuleSoft Integration Platform, MuleSoft Mule ESB, NodeJS (Node.js), Oracle SOA Suite, Selenium, Spring, VersionOne","CA Federation Manager, CA Identity Manager (formerly CA IdentityMinder), CA SiteMinder, Check Point, Check Point FireWall, Cisco Adaptive Security Appliance (ASA), Cisco IronPort, Crossbeam Systems, Entrust, F5 Application Security Manager (ASM), ID Analytics, Imperva DB Activity Monitoring (DAM), Juniper NetScreen Series Security, Microsoft Windows BitLocker, ObserveIT, Oracle Identity Management (OIM), Qualys (QualysGuard), RSA, RSA Adaptive Authentication, RSA Archer GRC, RSA enVision, RSA SecurID, Symantec, Symantec Altiris, Symantec Data Loss Prevention, Veracode","Akamai, Apache HTTP Server (Web Server), Apache Tomcat, HP Integrity Superdome Servers, IBM Tealeaf CX, IBM WebSphere Application Server, Microsoft Exchange Server 2010, Microsoft Internet Information Services (IIS), Microsoft Windows Servers, Nginx, Oracle iPlanet (formerly Sun Java System) Web Server, Oracle WebLogic, Red Hat Enterprise Linux (RHEL), UNIX",,"Aspect, AT&T, Audix Voicemail, Avaya, Avaya Aura, Avaya Aura Communication Manager (ACM), Avaya Intuity, Avaya PBX, Avaya Voice Mail, Cisco Systems, Cisco Unified Communications Manager (CUCM) (Formerly CallManager), Global Response","Amazon Elastic Compute Cloud (EC2), Amazon Web Services (AWS), Citrix, Citrix XenApp (formerly MetaFrame and Presentation Server), Citrix XenDesktop, Citrix XenServer (Virtualization), Microsoft Azure, NetApp / Cisco FlexPod, Oracle Exalogic Elastic Cloud, VMware, VMware ESX Server, VMware vSphere"
"Alta Vista Credit Union",,,,"Google Analytics",,,"Telerik SiteFinity",,,,,,,,,"New Relic","HTML, jQuery",,,,"Modernizr",,"Microsoft Internet Information Services (IIS)","TPx Communications",,
"AltaOne Federal Credit Union","Facebook Pixel",,,"Google Analytics","Citrix ShareFile, Microsoft Office 365, Microsoft Outlook, Microsoft SharePoint",,"Microsoft Active Directory, SilkRoad OpenHire","Dell EMC Avamar","Microsoft Access",,"logicpath, Symitar",,,"Microsoft Windows 10, Microsoft Windows 7, Microsoft Windows 8.1",,"BMC Track-It!","HTML, HTML5",,,"ADTRAN Network Hardware, Cisco Routers and Switches",,"Bitdefender, Kaspersky Antivirus, SonicWall, Symitar Episys",,,"Level 3 Communications, Zultys","Citrix, Citrix XenApp (formerly MetaFrame and Presentation Server), VMware, VMware vSphere"
"Amalgamated Bank","Google Tag Manager",,,,"Microsoft Exchange, RightFax","Salesforce.com CRM","IBM Sterling Commerce, IBM Sterling Gentran","jsDelivr","Microsoft SQL Server","Drupal Commerce",,,,,,"LANDESK Service Desk, LANDESK Software",,,,,"Apache","Okta","Apache Servers",,"RingCentral","VMware, VMware Server"
"Amarillo National Bank","Google Tag Manager",,,,,,,,,,,,,,,,,,,,,,,,,
"Amboy Bank",,,,"Google Analytics",,,"Microsoft SQL Server Management Studio (SSMS), Microsoft SQL Server Reporting Services (SSRS)",,"Microsoft SQL Server, Microsoft SQL Server 2012, Microsoft SQL Server Integration Services (SSIS)",,,"Sage Business Software Solutions",,,,,"HTML",,,,"Apache, Sybase T-SQL",,"Apache Servers, Apache Tomcat",,"Level 3 Communications",
"America First Credit Union",,,,"HP Discovery &  Dependency Mapping, Roambi","Microsoft SharePoint","Bazaarvoice, IBM Enterprise Marketing Management (Formerly DemandTec, Unica), Qualtrics Online Survey Software","Fiserv Corillian, HP Universal CMDB (UCMDB), Microsoft Active Directory, Oracle, xMatters AlarmPoint for BMC Software","IBM Spectrum Protect (Formerly Tivoli Storage Manager (TSM))","Microsoft SQL Server, Microsoft SQL Server Integration Services (SSIS), MySQL",,"Fiserv, Microsoft System Center Configuration Manager (SCCM), Ondot CardControl","Infor Lawson ERP",,"IBM z/VM, IBM z/VSE, Linux on z Systems, Microsoft Windows 7",,"HP Business Service Management (BSM), HP Service Manager, HP SiteScope, IBM Tivoli","AJAX, COBOL, CSS, HTML, JCL, jQuery, Microsoft Windows PowerShell, PHP",,,"HP Network Node Manager (NNMi), HP Operations Manager","Adobe, Adobe ColdFusion, Apache, Apache Subversion (SVN), JavaServer Faces (JSF), Microsoft Visio, Modernizr","Cisco Intrusion Detection Sensor (IDS), Cisco Intrusion Protection System (IPS), Cisco IronPort, IBM Security Trusteer, RSA, Thycotic","Apache Servers, Apache Tomcat, IBM Mainframe (IBM z Systems), Microsoft Internet Information Services (IIS), Microsoft Windows Servers",,"CenturyLink, Cisco Systems","VMware, VMware vSphere"
"America's Credit Union","Facebook Pixel, Google Tag Manager",,,"Google Analytics",,,,"WordPress",,"Yoast","logicpath",,"Visa DPS",,,,"CSS, jQuery, Microsoft ASP.NET, PHP",,,"CenturyLink Technology Solutions (formerly Savvis)","Apache","Google Postini, Symantec Verisign SSL",,,"CenturyLink, Interactive Intelligence","CenturyLink Cloud"
"American Airlines Federal Credit Union",,,,,"Microsoft Exchange","LivePerson","Microsoft Active Directory",,,,"Jack Henry Banking, Jack Henry Synapsys",,,,,,,,,,,"Symitar Episys",,,"Speedcast",
"American Bank of Commerce","Google Tag Manager",,,"Google Analytics",,,,,,"Drupal Commerce, Yoast",,,,,,,"CSS, jQuery, Microsoft ASP.NET",,,,,"Cisco IronPort, Symantec Verisign SSL","Microsoft Internet Information Services (IIS)",,"Cisco Systems, NTS Communications",
"American Business Bank",,,,,,,"DNN Evoq Content (DotNetNuke)",,,,"Everbridge",,,,,,"CSS, jQuery, Microsoft ASP.NET",,,"GeoTrust",,"Google Postini",,"TPx Communications",,
